"IDADE","TP_SEXO","TP_ESTADO_CIVIL","TP_COR_RACA","Q001","Q002","Q003","Q004","Q005","Q006","Q007","Q008","Q009","Q010","Q011","Q012","Q013","Q014","Q015","Q016","Q017","Q018","Q019","Q020","Q021","Q022","Q023","Q024","Q025","Q026","Q027","Q028","Q029","Q030","Q031","Q032","Q033","Q034","Q035","Q036","Q037","Q038","Q039","Q040","Q041","Q042","Q043","Q044","Q045","Q046","Q047","Q048","Q049","Q050","Q051","Q052","Q053","Q054","Q055","Q056","Q057","Q058","Q059","Q060","Q061","Q062","Q063","Q064","Q065","Q066","Q067","Q068","Q069","Q070","Q071","Q072","Q073","Q074","Q075","Q076","media"
">=20.00","F","0","1","B","B","(724; 2893]","[1;5]","B","B","A","A","A","A","A","A","A","D","A","C","B","D","D","D","A","A","4","2","","5","3","4","3","B","A","A","F","A","A","A","A","A","B","<=17","D","1","0","5","4","0","B","B","B","B","B","B","B","","","","","","","","","","","","","","","","","","","","","","","","n"
">=20.00","F","0","1","E","G","(2893; 5792]","[1;5]","A","B","C","A","B","B","A","A","A","A","A","C","A","A","A","D","B","C","0","0","","0","0","5","0","B","","","B","","","B","B","B","B","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","p"
">=20.00","F","0","1","G","E",">5792","[6;10]","A","B","C","C","A","A","B","A","A","B","C","C","A","A","A","A","C","C","4","5","","5","5","5","5","B","","","F","","","A","A","B","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","p"
">=20.00","M","0","4","E","B","(724; 2893]","[1;5]","A","D","B","A","A","A","A","A","A","A","D","C","A","D","D","D","A","A","5","2","","5","5","5","3","B","A","A","B","A","A","A","A","B","A","<=17","E","5","0","3","5","0","B","B","B","B","A","B","B","","","","","","","","","","","","","","","","","","","","","","","","n"
"<20.00","F","0","1","E","B","(724; 2893]","[1;5]","C","A","A","A","D","A","D","D","A","D","D","A","A","D","D","D","A","A","5","4","","5","2","5","5","B","A","A","B","A","A","A","A","A","A",">17","D","4","0","5","5","5","B","B","A","B","A","B","B","","","","","","","","","","","","","","","","","","","","","","","","n"
"<20.00","F","0","1","B","C","(724; 2893]","[1;5]","C","B","B","A","A","A","D","A","A","A","D","B","D","D","D","D","B","A","3","1","","2","4","5","5","B","A","A","B","A","A","A","B","B","A",">17","E","5","2","5","4","5","B","B","B","B","A","B","B","","","","","","","","","","","","","","","","","","","","","","","","n"
">=20.00","F","0","1","E","G","(724; 2893]","[1;5]","A","B","B","A","B","A","D","A","A","A","A","B","A","A","D","D","A","C","5","2","","5","1","4","4","A","","","B","","","A","A","B","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","p"
">=20.00","F","0","3","D","H","<=724","[1;5]","C","B","A","D","A","A","D","A","A","D","B","B","A","D","D","D","A","C","5","5","","5","5","5","5","A","","","B","","","A","A","B","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","n"
">=20.00","M","0","1","E","E","(724; 2893]","[1;5]","A","B","C","C","C","A","A","C","B","B","B","C","C","B","D","D","C","C","5","5","","4","4","5","5","B","","","B","","","A","A","B","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","p"
"<20.00","F","3","3","C","B","(724; 2893]","[1;5]","C","B","B","A","A","D","D","A","A","D","A","B","A","D","D","D","B","A","5","5","","5","5","5","5","C","A","A","C","A","B","A","A","A","A",">17","A","5","5","5","5","4","B","B","B","B","B","B","B","","","","","","","","","","","","","","","","","","","","","","","","n"
"<20.00","F","0","1","I","E","<=724","[1;5]","C","B","A","A","D","D","D","A","A","D","D","B","D","D","D","D","A","A","5","2","","5","5","5","2","A","A","D","B","A","A","A","A","A","A",">17","A","5","5","5","4","5","A","B","B","B","A","B","B","","","","","","","","","","","","","","","","","","","","","","","","n"
"<20.00","F","0","3","I","I","<=724","[1;5]","A","B","A","D","D","A","D","A","A","D","D","B","A","D","D","D","B","C","0","1","","1","0","1","1","B","","","A","","","B","A","B","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","n"
">=20.00","M","0","1","I","E","<=724","[1;5]","A","B","A","D","D","D","D","D","A","D","A","A","D","D","D","D","A","A","0","5","","5","0","5","5","C","A","B","B","A","A","A","A","A","A",">17","E","5","5","5","5","0","A","B","B","B","A","B","B","","","","","","","","","","","","","","","","","","","","","","","","n"
">=20.00","F","0","1","E","H","(724; 2893]","[1;5]","A","B","B","A","A","A","A","A","A","D","D","B","A","D","D","D","A","C","5","5","","5","0","3","3","B","","","F","","","A","A","A","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","n"
"<20.00","F","0","3","I","C","(724; 2893]","[1;5]","A","B","A","D","A","D","D","D","A","D","D","A","D","D","D","D","A","B","4","5","","5","1","5","5","A","A","A","B","A","A","A","A","A","A","<=17","D","5","0","5","5","5","A","B","B","B","A","B","B","","","","","","","","","","","","","","","","","","","","","","","","n"
">=20.00","F","0","3","C","D","(724; 2893]","[1;5]","A","B","A","A","A","D","D","A","A","D","D","B","D","D","D","D","A","C","4","4","","5","3","5","5","C","","","B","","","A","A","A","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","n"
">=20.00","F","0","3","B","B","<=724","[6;10]","A","B","A","D","A","A","A","D","A","D","A","A","A","D","D","D","A","C","5","5","","5","3","5","5","D","","","F","","","A","B","B","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","n"
">=20.00","F","0","3","C","E","(724; 2893]","[1;5]","C","B","A","A","A","A","A","A","A","D","A","C","A","A","D","D","A","C","5","5","","5","5","5","5","C","","","F","","","A","A","B","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","n"
">=20.00","F","0","3","I","I","(724; 2893]","[1;5]","A","B","A","D","D","D","A","A","A","D","D","C","D","A","D","D","A","B","5","5","","5","5","5","5","B","A","A","C","A","A","A","A","B","A","<=17","A","5","5","5","5","5","B","A","B","B","A","B","A","","","","","","","","","","","","","","","","","","","","","","","","n"
">=20.00","M","0","4","C","C","<=724","[1;5]","A","A","A","D","D","D","D","A","A","D","D","A","D","D","D","D","A","C","4","5","","5","4","5","5","D","","","F","","","A","A","B","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","n"
">=20.00","M","0","1","E","G","(724; 2893]","[1;5]","C","B","A","D","D","D","D","D","A","D","A","B","D","D","D","D","B","C","5","5","","5","3","5","5","C","","","B","","","A","A","B","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","n"
">=20.00","F","0","1","G","G","(2893; 5792]","[1;5]","A","B","B","A","D","A","B","A","A","D","A","C","A","D","A","D","B","C","5","5","","5","5","5","5","C","","","F","","","A","A","B","B","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","n"
">=20.00","M","0","3","I","I","(724; 2893]","[1;5]","C","B","C","C","D","A","D","A","A","A","A","C","A","A","A","D","A","A","1","1","","5","5","5","0","B","A","A","B","A","A","A","A","B","B",">17","E","1","0","3","4","4","B","B","B","A","A","B","A","","","","","","","","","","","","","","","","","","","","","","","","p"
"<20.00","F","0","3","E","C","(2893; 5792]","[1;5]","C","B","B","B","A","D","A","A","A","D","D","C","D","D","D","D","A","B","4","3","","5","5","5","5","C","A","A","B","A","A","A","A","B","A",">17","D","5","4","5","4","5","A","B","B","B","A","B","A","","","","","","","","","","","","","","","","","","","","","","","","n"
">=20.00","M","0","3","H","G","(2893; 5792]","[1;5]","D","B","C","B","B","A","A","A","A","A","A","C","A","A","A","D","B","C","5","3","","5","5","5","5","C","","","F","","","A","A","A","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","n"
">=20.00","M","0","2","B","C","<=724","[1;5]","A","B","A","A","A","D","A","A","A","D","D","A","D","D","D","D","A","C","4","4","","4","4","0","0","B","","","B","","","B","B","B","B","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","n"
"<20.00","M","0","2","C","C","(724; 2893]","[1;5]","A","B","B","B","A","A","A","A","A","D","D","A","D","D","D","D","A","A","5","5","","5","4","5","5","D","A","B","C","A","A","A","A","A","A","<=17","D","5","0","5","5","0","B","B","B","B","A","B","B","","","","","","","","","","","","","","","","","","","","","","","","n"
">=20.00","F","0","1","E","E","(724; 2893]","[6;10]","C","A","A","D","D","A","A","A","A","D","A","B","A","D","D","D","A","C","5","5","","5","4","5","5","A","","","F","","","A","A","A","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","p"
"<20.00","F","1","3","F","E","(724; 2893]","[1;5]","A","B","B","A","B","A","A","A","A","D","A","B","A","D","D","D","B","B","2","1","","5","2","3","3","B","A","C","C","A","A","A","A","B","A",">17","E","1","2","2","4","2","A","A","A","A","A","B","A","","","","","","","","","","","","","","","","","","","","","","","","p"
">=20.00","M","0","3","C","B","(724; 2893]","[1;5]","A","B","A","B","B","A","D","B","A","D","A","B","A","A","A","D","A","A","5","5","","5","4","5","4","B","A","A","B","A","A","A","A","B","A","<=17","C","4","0","5","5","5","A","B","B","B","A","B","B","","","","","","","","","","","","","","","","","","","","","","","","n"
">=20.00","F","0","1","E","E","(724; 2893]","[1;5]","A","B","A","A","A","D","D","A","A","D","A","B","A","D","D","D","D","C","5","4","","5","3","5","0","A","","","A","","","A","A","A","B","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","n"
">=20.00","F","0","1","B","C","(724; 2893]","[1;5]","D","B","B","B","B","B","D","A","A","A","D","A","A","A","D","D","A","A","5","5","","4","5","5","4","B","A","A","B","A","A","A","A","B","A",">17","E","5","3","5","5","5","B","A","B","A","B","B","B","","","","","","","","","","","","","","","","","","","","","","","","n"
"<20.00","M","0","1","D","F","(724; 2893]","[1;5]","A","B","B","D","A","A","B","A","A","A","A","B","A","D","D","D","A","B","5","4","","5","5","5","3","B","A","B","B","A","A","A","A","B","B",">17","D","4","0","5","5","5","A","B","A","B","A","B","A","","","","","","","","","","","","","","","","","","","","","","","","n"
">=20.00","M","0","1","F","G","(2893; 5792]","[1;5]","C","B","C","C","A","B","A","A","A","A","A","C","B","A","D","D","B","C","5","2","","5","0","5","5","B","","","F","","","A","A","B","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","p"
"<20.00","F","1","3","A","B","(724; 2893]","[1;5]","B","B","A","A","A","A","A","A","A","A","A","A","A","D","D","D","A","A","1","5","","0","5","5","0","F","E","A","C","E","A","B","B","B","A",">17","E","5","1","1","1","1","B","B","A","B","A","B","B","","","","","","","","","","","","","","","","","","","","","","","","n"
">=20.00","F","0","1","E","E","<=724","[6;10]","D","A","A","A","D","A","D","D","A","D","A","A","D","D","D","D","A","A","4","5","","5","5","5","5","B","A","A","B","A","A","A","A","A","A",">17","E","5","5","5","5","5","A","B","B","B","A","B","B","","","","","","","","","","","","","","","","","","","","","","","","n"
"<20.00","F","1","1","I","C","(724; 2893]","[1;5]","C","B","A","A","D","A","D","A","A","A","D","B","A","D","D","D","A","A","3","4","","5","4","5","4","B","A","B","B","A","A","A","A","A","A",">17","E","3","5","5","2","5","A","B","B","A","A","B","B","","","","","","","","","","","","","","","","","","","","","","","","n"
"<20.00","F","0","1","A","A","(724; 2893]","[1;5]","A","B","B","A","B","D","D","A","A","D","A","A","A","D","D","D","B","A","5","5","","5","5","5","5","F","C","A","B","C","A","A","A","B","A",">17","E","5","4","4","4","4","A","B","B","B","A","A","A","","","","","","","","","","","","","","","","","","","","","","","","n"
">=20.00","M","0","1","D","F","(724; 2893]","[1;5]","A","B","A","A","D","D","A","D","A","D","D","A","D","D","D","D","A","C","3","5","","3","3","4","3","C","","","F","","","A","A","A","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","p"
"<20.00","F","0","2","B","B","<=724","[1;5]","A","B","A","A","A","A","D","D","A","D","D","B","A","D","D","D","A","C","5","5","","5","5","5","5","C","","","C","","","A","A","A","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","n"
"<20.00","M","0","3","D","E","(724; 2893]","[1;5]","A","B","B","A","D","A","A","A","A","A","A","C","A","D","A","D","A","A","2","3","","5","3","3","2","C","A","A","B","A","A","A","A","B","B",">17","E","5","0","5","3","4","A","A","B","B","B","B","B","","","","","","","","","","","","","","","","","","","","","","","","n"
">=20.00","F","0","1","F","F","(2893; 5792]","[1;5]","A","B","B","A","A","C","A","A","A","D","B","C","A","A","D","D","C","A","5","5","","5","2","4","2","C","A","D","F","A","C","B","A","B","A","<=17","A","0","0","1","5","0","B","B","B","A","B","B","B","","","","","","","","","","","","","","","","","","","","","","","","p"
">=20.00","F","0","1","D","C","<=724","[6;10]","C","B","A","D","A","D","A","A","D","D","A","A","A","D","D","D","A","B","2","5","","5","5","5","5","B","A","A","F","B","A","A","A","B","A","<=17","A","5","5","5","5","5","A","B","B","B","A","B","B","B","","","","","","","","","","B","","","","","","","","","","","","","n"
"<20.00","M","1","3","A","B","(724; 2893]","[1;5]","A","B","B","B","B","A","A","B","B","A","A","B","A","A","A","D","B","B","0","5","","5","5","5","5","B","A","A","B","A","A","A","A","A","A","<=17","E","5","5","5","5","5","A","B","B","B","A","B","A","","","","","","","","","","","","","","","","","","","","","","","","n"
